detectorType;descriptorType;detectorTime(ms);descriptorTime(ms);match_time(ms);detectectedKeypoints;averageKPSize;matchedKeypoints;totalTime(ms);
AKAZE;AKAZE;68.0114;53.4775;0;1351;7.43808;0;121.489;
AKAZE;AKAZE;62.3396;54.8112;0.533581;1327;7.36395;128;117.684;
AKAZE;AKAZE;67.182;55.1179;0.444454;1311;7.40696;128;122.744;
AKAZE;AKAZE;68.0321;58.189;0.434169;1351;7.38975;125;126.655;
AKAZE;AKAZE;79.2713;61.0764;0.474054;1360;7.49947;117;140.822;
AKAZE;AKAZE;65.5443;54.6318;0.579653;1347;7.50918;121;120.756;
AKAZE;AKAZE;70.0343;66.9224;0.841096;1363;7.56309;132;137.798;
AKAZE;AKAZE;68.4433;56.1778;0.65197;1331;7.58425;137;125.273;
AKAZE;AKAZE;128.231;137.255;0.806833;1358;7.56984;140;266.293;
AKAZE;AKAZE;75.5516;56.5895;0.839442;1331;7.50518;144;132.981;
BRISK;BRISK;40.5121;4.17671;0;2757;19.0813;0;44.6888;
BRISK;BRISK;35.1807;3.82849;1.23993;2777;19.4177;138;40.2492;
BRISK;BRISK;37.955;3.69727;1.16972;2741;19.1647;144;42.822;
BRISK;BRISK;35.6283;4.0353;1.16407;2735;18.8733;133;40.8277;
BRISK;BRISK;35.5274;4.70881;1.34683;2757;19.1736;144;41.583;
BRISK;BRISK;35.2927;3.48478;1.27318;2695;19.1478;139;40.0506;
BRISK;BRISK;35.7828;2.87155;1.90568;2715;19.0684;155;40.56;
BRISK;BRISK;36.5784;2.90909;1.24497;2628;19.3445;137;40.7325;
BRISK;BRISK;36.5619;2.59885;1.48133;2639;19.3067;150;40.6421;
BRISK;BRISK;35.4153;2.54821;1.39683;2672;19.3097;158;39.3603;
FAST;BRISK;0.84742;1.78392;0;1824;7;0;2.63134;
FAST;BRISK;0.932541;2.01075;0.395973;1832;7;80;3.33926;
FAST;BRISK;0.748924;1.74843;0.427859;1810;7;91;2.92521;
FAST;BRISK;0.770001;1.62968;0.473693;1817;7;85;2.87337;
FAST;BRISK;0.75569;1.54245;0.438916;1793;7;94;2.73706;
FAST;BRISK;0.73438;1.68786;0.442313;1796;7;71;2.86456;
FAST;BRISK;0.727434;1.91175;0.40708;1788;7;83;3.04626;
FAST;BRISK;0.73482;1.79374;0.439562;1695;7;92;2.96813;
FAST;BRISK;0.730015;1.78349;0.384328;1749;7;86;2.89784;
FAST;BRISK;0.766533;1.78381;0.505971;1770;7;94;3.05632;
FAST;BRIEF;0.813187;1.05957;0;1824;7;0;1.87276;
FAST;BRIEF;0.932323;0.867412;0.410835;1832;7;94;2.21057;
FAST;BRIEF;0.810258;0.836592;0.511239;1810;7;106;2.15809;
FAST;BRIEF;0.759855;0.793659;0.598077;1817;7;96;2.15159;
FAST;BRIEF;0.718921;0.918388;0.417289;1793;7;102;2.0546;
FAST;BRIEF;0.939045;0.882958;0.701469;1796;7;96;2.52347;
FAST;BRIEF;0.757354;0.891771;0.466092;1788;7;112;2.11522;
FAST;BRIEF;0.869187;0.725115;0.572955;1695;7;112;2.16726;
FAST;BRIEF;0.758549;0.743488;0.407341;1749;7;104;1.90938;
FAST;BRIEF;0.722712;0.828575;0.547416;1770;7;100;2.0987;
FAST;FREAK;0.816704;24.6264;0;1824;7;0;25.4431;
FAST;FREAK;0.787665;22.1843;0.469269;1832;7;64;23.4412;
FAST;FREAK;0.760389;21.8282;0.421826;1810;7;80;23.0104;
FAST;FREAK;0.853456;22.0789;0.457189;1817;7;60;23.3896;
FAST;FREAK;0.778991;21.5341;0.552662;1793;7;74;22.8658;
FAST;FREAK;0.716079;22.2763;0.478613;1796;7;58;23.471;
FAST;FREAK;0.73497;21.6423;0.427139;1788;7;79;22.8044;
FAST;FREAK;0.842604;22.3737;0.527812;1695;7;78;23.7441;
FAST;FREAK;0.819985;21.8126;0.612353;1749;7;80;23.2449;
FAST;FREAK;0.718883;23.1497;0.434596;1770;7;84;24.3032;
HARRIS;SIFT;10.1912;19.4739;0;492;0;0;29.6651;
HARRIS;SIFT;10.206;11.7735;0.131003;502;0;46;22.1105;
HARRIS;SIFT;12.1089;24.2783;0.202004;516;0;46;36.5891;
HARRIS;SIFT;7.95205;11.8886;0.129155;524;0;50;19.9698;
HARRIS;SIFT;11.9651;12.1099;0.121465;523;0;52;24.1965;
HARRIS;SIFT;9.77805;11.5899;0.107352;511;0;51;21.4753;
HARRIS;SIFT;9.90892;11.554;0.211284;505;0;48;21.6742;
HARRIS;SIFT;9.82022;12.0384;0.108059;510;0;52;21.9667;
HARRIS;SIFT;9.69914;11.7935;0.128378;529;0;59;21.621;
HARRIS;SIFT;10.3624;12.1479;0.152508;520;0;55;22.6628;
ORB;ORB;35.4631;11.0229;0;500;53.9246;0;46.486;
